[2026-01-20T21:00:09.368+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-20T21:00:09.414+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-20T21:00:07.280516+00:00 [queued]>
[2026-01-20T21:00:09.428+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-20T21:00:07.280516+00:00 [queued]>
[2026-01-20T21:00:09.430+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-20T21:00:09.449+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pdbc> on 2026-01-20 21:00:07.280516+00:00
[2026-01-20T21:00:09.457+0000] {standard_task_runner.py:63} INFO - Started process 3144 to run task
[2026-01-20T21:00:09.463+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pdbc', 'manual__2026-01-20T21:00:07.280516+00:00', '--job-id', '108', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmpdmo_qotz']
[2026-01-20T21:00:09.467+0000] {standard_task_runner.py:91} INFO - Job 108: Subtask download_marginal_pdbc
[2026-01-20T21:00:09.574+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-20T21:00:07.280516+00:00 [running]> on host 2aff4151de2d
[2026-01-20T21:00:09.713+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pdbc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-20T21:00:07.280516+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-20T21:00:07.280516+00:00'
[2026-01-20T21:00:09.715+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-20T21:00:09.730+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpdbc from 2026-01-20 21:00:07.280516 to 2026-01-20 21:00:07.280516
[2026-01-20T21:00:09.734+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250101.1 already exists. Skipping download.
[2026-01-20T21:00:09.737+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250102.1 already exists. Skipping download.
[2026-01-20T21:00:09.741+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250103.1 already exists. Skipping download.
[2026-01-20T21:00:09.744+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250104.1 already exists. Skipping download.
[2026-01-20T21:00:09.749+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250105.1 already exists. Skipping download.
[2026-01-20T21:00:09.756+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250106.1 already exists. Skipping download.
[2026-01-20T21:00:09.761+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250107.1 already exists. Skipping download.
[2026-01-20T21:00:09.766+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250108.1 already exists. Skipping download.
[2026-01-20T21:00:09.770+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250109.1 already exists. Skipping download.
[2026-01-20T21:00:09.775+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250110.1 already exists. Skipping download.
[2026-01-20T21:00:09.779+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250111.1 already exists. Skipping download.
[2026-01-20T21:00:09.784+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250112.1 already exists. Skipping download.
[2026-01-20T21:00:09.788+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250113.1 already exists. Skipping download.
[2026-01-20T21:00:09.793+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250114.1 already exists. Skipping download.
[2026-01-20T21:00:09.797+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250115.1 already exists. Skipping download.
[2026-01-20T21:00:09.801+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250116.1 already exists. Skipping download.
[2026-01-20T21:00:09.805+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250117.1 already exists. Skipping download.
[2026-01-20T21:00:09.808+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250118.1 already exists. Skipping download.
[2026-01-20T21:00:09.811+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250119.1 already exists. Skipping download.
[2026-01-20T21:00:09.816+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250120.1 already exists. Skipping download.
[2026-01-20T21:00:09.819+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250121.1 already exists. Skipping download.
[2026-01-20T21:00:09.822+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250122.1 already exists. Skipping download.
[2026-01-20T21:00:09.826+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250123.1 already exists. Skipping download.
[2026-01-20T21:00:09.829+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250124.1 already exists. Skipping download.
[2026-01-20T21:00:09.833+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250125.1 already exists. Skipping download.
[2026-01-20T21:00:09.836+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250126.1 already exists. Skipping download.
[2026-01-20T21:00:09.841+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250127.1 already exists. Skipping download.
[2026-01-20T21:00:09.844+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250128.1 already exists. Skipping download.
[2026-01-20T21:00:09.849+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250129.1 already exists. Skipping download.
[2026-01-20T21:00:09.853+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250130.1 already exists. Skipping download.
