[2026-01-22T18:29:31.975+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-22T18:29:32.905+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-22T18:29:12.380731+00:00 [queued]>
[2026-01-22T18:29:33.187+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-22T18:29:12.380731+00:00 [queued]>
[2026-01-22T18:29:33.198+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-22T18:29:33.699+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pibc> on 2026-01-22 18:29:12.380731+00:00
[2026-01-22T18:29:33.816+0000] {standard_task_runner.py:63} INFO - Started process 373 to run task
[2026-01-22T18:29:33.915+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pibc', 'manual__2026-01-22T18:29:12.380731+00:00', '--job-id', '133', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmpb9qwcf7y']
[2026-01-22T18:29:33.952+0000] {standard_task_runner.py:91} INFO - Job 133: Subtask download_marginal_pibc
[2026-01-22T18:29:35.046+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-22T18:29:12.380731+00:00 [running]> on host 2aff4151de2d
[2026-01-22T18:29:36.800+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pibc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-22T18:29:12.380731+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-22T18:29:12.380731+00:00'
[2026-01-22T18:29:36.822+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-22T18:29:37.046+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpibc from 2026-01-22 18:29:12.380731 to 2026-01-22 18:29:12.380731
[2026-01-22T18:29:37.111+0000] {omie_client.py:64} INFO - Downloading marginalpibc_2025.zip from OMIE...
[2026-01-22T18:29:38.161+0000] {omie_client.py:68} INFO - File marginalpibc_2025.zip not found (404).
[2026-01-22T18:29:38.380+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010101.1 already exists. Skipping.
[2026-01-22T18:29:38.521+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010102.1 already exists. Skipping.
[2026-01-22T18:29:38.631+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010103.1 already exists. Skipping.
[2026-01-22T18:29:38.763+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010201.1 already exists. Skipping.
[2026-01-22T18:29:38.983+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010202.1 already exists. Skipping.
[2026-01-22T18:29:39.064+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010203.1 already exists. Skipping.
[2026-01-22T18:29:39.255+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010301.1 already exists. Skipping.
[2026-01-22T18:29:39.297+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010302.1 already exists. Skipping.
