[2026-01-23T16:09:44.985+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-23T16:09:45.213+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc scheduled__2026-01-22T08:30:00+00:00 [queued]>
[2026-01-23T16:09:45.242+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc scheduled__2026-01-22T08:30:00+00:00 [queued]>
[2026-01-23T16:09:45.267+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-23T16:09:45.379+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pdbc> on 2026-01-22 08:30:00+00:00
[2026-01-23T16:09:45.684+0000] {standard_task_runner.py:63} INFO - Started process 260 to run task
[2026-01-23T16:09:45.704+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pdbc', 'scheduled__2026-01-22T08:30:00+00:00', '--job-id', '176', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmpihuz4et2']
[2026-01-23T16:09:45.767+0000] {standard_task_runner.py:91} INFO - Job 176: Subtask download_marginal_pdbc
[2026-01-23T16:09:46.408+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pdbc scheduled__2026-01-22T08:30:00+00:00 [running]> on host 2aff4151de2d
[2026-01-23T16:09:47.124+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pdbc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-22T08:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-22T08:30:00+00:00'
[2026-01-23T16:09:47.139+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-23T16:09:47.174+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpdbc from 2026-01-22 08:30:00 to 2026-01-22 08:30:00
[2026-01-23T16:09:47.189+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250101.1 already exists. Skipping download.
[2026-01-23T16:09:47.215+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250102.1 already exists. Skipping download.
[2026-01-23T16:09:47.246+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250103.1 already exists. Skipping download.
[2026-01-23T16:09:47.278+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250104.1 already exists. Skipping download.
[2026-01-23T16:09:47.292+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250105.1 already exists. Skipping download.
[2026-01-23T16:09:47.301+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250106.1 already exists. Skipping download.
[2026-01-23T16:09:47.318+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250107.1 already exists. Skipping download.
[2026-01-23T16:09:47.334+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250108.1 already exists. Skipping download.
[2026-01-23T16:09:47.380+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250109.1 already exists. Skipping download.
[2026-01-23T16:09:47.412+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250110.1 already exists. Skipping download.
[2026-01-23T16:09:47.450+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250111.1 already exists. Skipping download.
[2026-01-23T16:09:47.477+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250112.1 already exists. Skipping download.
[2026-01-23T16:09:47.518+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250113.1 already exists. Skipping download.
[2026-01-23T16:09:47.543+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250114.1 already exists. Skipping download.
[2026-01-23T16:09:47.597+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250115.1 already exists. Skipping download.
[2026-01-23T16:09:47.621+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250116.1 already exists. Skipping download.
[2026-01-23T16:09:47.632+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250117.1 already exists. Skipping download.
[2026-01-23T16:09:47.659+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250118.1 already exists. Skipping download.
[2026-01-23T16:09:47.677+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250119.1 already exists. Skipping download.
[2026-01-23T16:09:47.683+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250120.1 already exists. Skipping download.
[2026-01-23T16:09:47.690+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250121.1 already exists. Skipping download.
[2026-01-23T16:09:47.705+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250122.1 already exists. Skipping download.
[2026-01-23T16:09:47.719+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250123.1 already exists. Skipping download.
[2026-01-23T16:09:47.727+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250124.1 already exists. Skipping download.
[2026-01-23T16:09:47.734+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250125.1 already exists. Skipping download.
[2026-01-23T16:09:47.744+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250126.1 already exists. Skipping download.
[2026-01-23T16:09:47.759+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250127.1 already exists. Skipping download.
[2026-01-23T16:09:47.765+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250128.1 already exists. Skipping download.
[2026-01-23T16:09:47.772+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250129.1 already exists. Skipping download.
[2026-01-23T16:09:47.777+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250130.1 already exists. Skipping download.
[2026-01-23T16:09:47.786+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250131.1 already exists. Skipping download.
[2026-01-23T16:09:47.792+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250201.1 already exists. Skipping download.
