[2026-01-23T16:09:44.898+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-23T16:09:45.166+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc scheduled__2026-01-22T08:30:00+00:00 [queued]>
[2026-01-23T16:09:45.224+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc scheduled__2026-01-22T08:30:00+00:00 [queued]>
[2026-01-23T16:09:45.274+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-23T16:09:45.388+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pibc> on 2026-01-22 08:30:00+00:00
[2026-01-23T16:09:45.565+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pibc', 'scheduled__2026-01-22T08:30:00+00:00', '--job-id', '173', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmppmby5m55']
[2026-01-23T16:09:45.618+0000] {standard_task_runner.py:91} INFO - Job 173: Subtask download_marginal_pibc
[2026-01-23T16:09:45.520+0000] {standard_task_runner.py:63} INFO - Started process 259 to run task
[2026-01-23T16:09:46.360+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pibc scheduled__2026-01-22T08:30:00+00:00 [running]> on host 2aff4151de2d
[2026-01-23T16:09:47.145+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pibc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-22T08:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-22T08:30:00+00:00'
[2026-01-23T16:09:47.153+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-23T16:09:47.190+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpibc from 2026-01-22 08:30:00 to 2026-01-22 08:30:00
[2026-01-23T16:09:47.201+0000] {omie_client.py:64} INFO - Downloading marginalpibc_2025.zip from OMIE...
[2026-01-23T16:09:47.933+0000] {omie_client.py:68} INFO - File marginalpibc_2025.zip not found (404).
[2026-01-23T16:09:47.985+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010101.1 already exists. Skipping.
[2026-01-23T16:09:48.036+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010102.1 already exists. Skipping.
[2026-01-23T16:09:48.084+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010103.1 already exists. Skipping.
[2026-01-23T16:09:48.125+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010201.1 already exists. Skipping.
[2026-01-23T16:09:48.141+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010202.1 already exists. Skipping.
[2026-01-23T16:09:48.146+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010203.1 already exists. Skipping.
[2026-01-23T16:09:48.184+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010301.1 already exists. Skipping.
[2026-01-23T16:09:48.200+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010302.1 already exists. Skipping.
[2026-01-23T16:09:48.206+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010303.1 already exists. Skipping.
[2026-01-23T16:09:48.238+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010401.1 already exists. Skipping.
[2026-01-23T16:09:48.272+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010402.1 already exists. Skipping.
[2026-01-23T16:09:48.301+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010403.1 already exists. Skipping.
[2026-01-23T16:09:48.312+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010501.1 already exists. Skipping.
[2026-01-23T16:09:48.343+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010502.1 already exists. Skipping.
[2026-01-23T16:09:48.357+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010503.1 already exists. Skipping.
[2026-01-23T16:09:48.406+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010601.1 already exists. Skipping.
[2026-01-23T16:09:48.427+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010602.1 already exists. Skipping.
[2026-01-23T16:09:48.436+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010603.1 already exists. Skipping.
